Episode,Reward,Steps,Loss
0,0.97,4,0.0
1,0.92,9,0.0
2,0.98,3,0.0
3,-1.52,4,0.0
4,-1.51,3,0.0
5,0.98,3,0.0
6,0.98,3,0.0
7,-1.58,10,12.169880330562592
8,-1.05,6,7.00191855430603
9,0.98,3,3.4521005948384604
10,-1.03,4,2.436154842376709
11,-1.09,10,1.59752299785614
12,-1.52,4,0.9702034592628479
13,-1.52,4,1.0133648216724396
14,-5.03,4,0.9238642454147339
15,-5.07,8,0.7027479708194733
16,0.45999999999999996,6,0.7058025697867075
17,-2.01,4,0.5776119902729988
18,-1.51,3,0.6715366840362549
19,-1.52,4,0.7260832339525223
20,-1.03,4,0.9284216463565826
21,-1.02,3,0.590304970741272
22,-2.0700000000000003,10,0.3476738780736923
23,-1.55,7,0.35087972453662325
24,0.48,4,0.30922726541757584
25,-1.51,3,0.38536058863004047
26,-5.51,3,0.4596194624900818
27,-5.51,3,0.5363016327222189
28,-5.02,3,0.30700304607550305
29,4.98,3,0.42521990338961285
30,0.48,4,0.5159526467323303
31,-5.52,4,0.3388959988951683
32,0.0,3,0.29592710733413696
33,-1.02,3,0.16900789240996042
34,4.43,9,0.2924872487783432
35,4.97,4,0.263868123292923
36,-0.040000000000000036,7,0.372589715889522
37,-1.06,7,0.30172465635197504
38,0.98,3,0.41732361912727356
39,0.43999999999999995,8,0.22371701337397099
40,-1.53,5,0.3122288346290588
41,0.48,4,0.3702727183699608
42,0.97,4,0.1620888002216816
43,-1.58,10,0.24286956638097762
44,0.95,6,0.13733948643008867
45,-1.09,10,0.1640934854745865
46,0.92,9,0.18573703120152155
47,0.45999999999999996,6,0.24546906352043152
48,-1.03,4,0.1160869188606739
49,-1.04,5,0.17801943123340608
50,4.49,3,0.16843961675961813
51,-5.54,6,0.24197223782539368
52,-1.51,3,0.2543078263600667
53,-1.02,3,0.2499303420384725
54,4.98,3,0.17861213286717734
55,4.45,7,0.19307306834629603
56,0.49,3,0.21704002221425375
57,0.96,5,0.14883837550878526
58,0.96,5,0.20208175331354142
59,-5.06,7,0.27145983065877644
60,-6.0,3,0.1559325804313024
61,-5.02,3,0.24833018084367117
62,0.49,3,0.20256672302881876
63,0.95,6,0.23193815102179846
64,-5.06,7,0.2707593057836805
65,-5.52,4,0.23068669438362122
66,-5.02,3,0.23587143421173096
67,4.49,3,0.26013506948947906
68,4.96,5,0.2849746644496918
69,4.47,5,0.22667028456926347
70,-5.02,3,0.30368568499883014
71,-5.05,6,0.28753580898046494
72,0.49,3,0.34550637006759644
73,-1.03,4,0.27297915518283844
74,-5.04,5,0.24244835376739501
75,4.49,3,0.22290019194285074
76,4.97,4,0.24253913387656212
77,4.95,6,0.17569315185149512
78,-5.51,3,0.1966549555460612
79,4.47,5,0.18811358213424684
80,-5.07,8,0.21479690819978714
81,4.48,4,0.23825740814208984
82,0.97,4,0.2523805946111679
83,-1.57,9,0.25875217964251834
84,-2.06,9,0.28038625915845233
85,-5.51,3,0.35077252984046936
86,4.49,3,0.3725678324699402
87,0.92,9,0.28543952604134876
88,0.97,4,0.1565399207174778
89,0.49,3,0.17756085594495138
90,-1.03,4,0.18751728907227516
91,0.49,3,0.34047795335451764
92,0.92,9,0.2884883400466707
93,-1.03,4,0.28005966916680336
94,-1.09,10,0.2717955306172371
95,0.97,4,0.2102007083594799
96,0.98,3,0.28173257907231647
97,0.97,4,0.298030249774456
98,-5.5600000000000005,8,0.2546614147722721
99,0.98,3,0.26778270304203033
100,-1.55,7,0.23172557992594583
101,0.94,7,0.2590718907969339
102,-2.0,3,0.20572799444198608
103,0.47,5,0.26686756908893583
104,-1.02,3,0.31251488129297894
105,0.96,5,0.29169167280197145
106,0.95,6,0.2717453067501386
107,0.95,6,0.22097085664669672
108,-1.05,6,0.2870587855577469
109,-1.03,4,0.15844588354229927
110,0.45999999999999996,6,0.204356682797273
111,-5.51,3,0.18356865147749582
112,4.95,6,0.2555854618549347
113,4.98,3,0.2511024276415507
114,4.94,7,0.17381061507122858
115,-5.04,5,0.17727583944797515
116,4.48,4,0.23934538662433624
117,-1.06,7,0.26592060710702625
118,4.97,4,0.3037342168390751
119,0.94,7,0.16790430567094258
120,4.0,3,0.09348584214846294
121,0.95,6,0.1847707231839498
122,-1.09,10,0.19045009091496468
123,4.98,3,0.13438972334067026
124,-1.05,6,0.11658654361963272
125,0.47,5,0.2593666285276413
126,0.92,9,0.26021770636240643
127,0.49,3,0.14468802014986673
128,-1.02,3,0.12760850290457407
129,0.49,3,0.144963930050532
130,0.95,6,0.16234981392820677
131,0.49,3,0.16751652459303537
132,-1.02,3,0.3320695360501607
133,0.92,9,0.21233488702111775
134,0.98,3,0.4162551164627075
135,0.97,4,0.2717924118041992
136,4.48,4,0.3404024615883827
137,-5.55,7,0.1863335371017456
138,0.94,7,0.17181390364255225
139,-5.53,5,0.16166379153728486
140,4.98,3,0.17648355662822723
141,0.98,3,0.20356667786836624
142,4.95,6,0.2207910716533661
143,-1.05,6,0.1999217246969541
144,0.48,4,0.20735275372862816
145,4.49,3,0.32930684089660645
146,-5.02,3,0.22320052981376648
147,0.96,5,0.32710290551185606
148,-1.09,10,0.26417524740099907
149,-0.030000000000000027,6,0.2679814249277115
150,-2.0,3,0.36453280846277875
151,-1.56,8,0.22270596493035555
152,-1.08,9,0.2525446025861634
153,-1.53,5,0.2149200975894928
154,4.94,7,0.23907642598663056
155,-5.54,6,0.20025543123483658
156,-2.0700000000000003,10,0.20539420396089553
157,0.98,3,0.25453664859135944
158,-1.02,3,0.13193603356679282
159,-1.58,10,0.19165694527328014
160,-1.03,4,0.2508550062775612
161,0.48,4,0.3376218266785145
162,-1.52,4,0.2348727323114872
163,-1.03,4,0.18926220759749413
164,4.48,4,0.3612920865416527
165,-5.04,5,0.23694951236248016
166,-1.07,8,0.25188677571713924
167,0.49,3,0.31827449798583984
168,-1.54,6,0.25550732637445134
169,-1.03,4,0.19937578216195107
170,-1.04,5,0.1784263253211975
171,0.97,4,0.33660988509655
172,-1.53,5,0.28752903938293456
173,0.98,3,0.23072553922732672
174,-1.09,10,0.20544082149863244
175,4.94,7,0.2619995666401727
176,4.47,5,0.1985708713531494
177,-1.02,3,0.25251824657122296
